@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
211,'2026/05/31 15:54:45:222',1,0.115392,0.552271,0.930624,0,0.5,1
212,'2026/05/31 15:54:45:255',1,0.114913,0.551969,0.926292,0,0.5,1
213,'2026/05/31 15:54:45:290',1,0.114141,0.552231,0.920583,0,0.5,1
214,'2026/05/31 15:54:45:323',1,0.114026,0.551818,0.923432,0,0.5,1
215,'2026/05/31 15:54:45:358',1,0.1139,0.552494,0.916111,0,0.5,1
216,'2026/05/31 15:54:45:389',1,0.113587,0.552857,0.913259,0,0.5,1
217,'2026/05/31 15:54:45:425',1,0.112822,0.552451,0.916242,0,0.5,1
218,'2026/05/31 15:54:45:454',1,0.113091,0.552176,0.91495,0,0.5,1
219,'2026/05/31 15:54:45:488',1,0.11283,0.552445,0.914049,0,0.5,1
220,'2026/05/31 15:54:45:522',1,0.112762,0.552541,0.914181,0,0.5,1
221,'2026/05/31 15:54:45:558',1,0.112664,0.552292,0.922194,0,0.5,1
222,'2026/05/31 15:54:45:590',1,0.112673,0.55253,0.922072,0,0.5,1
223,'2026/05/31 15:54:45:624',1,0.112607,0.552788,0.920163,0,0.5,1
224,'2026/05/31 15:54:45:658',1,0.11251,0.552398,0.923694,0,0.5,1
225,'2026/05/31 15:54:45:689',1,0.112782,0.552568,0.923459,0,0.5,1
226,'2026/05/31 15:54:45:725',1,0.112887,0.552838,0.920646,0,0.5,1
227,'2026/05/31 15:54:45:754',1,0.112941,0.552503,0.925024,0,0.5,1
228,'2026/05/31 15:54:45:791',1,0.113085,0.552653,0.925667,0,0.5,1
229,'2026/05/31 15:54:45:821',1,0.113361,0.55267,0.922861,0,0.5,1
230,'2026/05/31 15:54:45:855',1,0.11344,0.553132,0.912783,0,0.5,1
231,'2026/05/31 15:54:45:890',1,0.113343,0.55268,0.920189,0,0.5,1
232,'2026/05/31 15:54:45:922',1,0.113256,0.552646,0.918137,0,0.5,1
233,'2026/05/31 15:54:45:957',1,0.113502,0.55231,0.923574,0,0.5,1
234,'2026/05/31 15:54:45:989',1,0.114373,0.551628,0.931018,0,0.5,1
235,'2026/05/31 15:54:46:024',1,0.114847,0.552637,0.922881,0,0.5,1
236,'2026/05/31 15:54:46:056',1,0.115058,0.552964,0.918933,0,0.5,1
237,'2026/05/31 15:54:46:089',1,0.115127,0.552942,0.919107,0,0.5,1
238,'2026/05/31 15:54:46:125',1,0.115467,0.553141,0.920302,0,0.5,1
239,'2026/05/31 15:54:46:156',1,0.115491,0.553005,0.925634,0,0.5,1
240,'2026/05/31 15:54:46:191',1,0.11566,0.553166,0.924682,0,0.5,1
241,'2026/05/31 15:54:46:221',1,0.115331,0.553599,0.919892,0,0.5,1
242,'2026/05/31 15:54:46:258',1,0.115771,0.55273,0.925409,0,0.5,1
